
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 184, col 15, Error - Using Chinese characters: \n💡 请刷新浏览器（Ctrl+F5）查看效果 (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 123, col 15, Error - Using Chinese characters: '║        文档编码修复工具 - 冒号分隔符移除              ║' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 127, col 17, Error - Using Chinese characters: '🔍 运行模式：演练模式（不会修改文件）\n' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 129, col 17, Error - Using Chinese characters: '🧪 运行模式：测试模式（仅处理前5个文件）\n' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 131, col 17, Error - Using Chinese characters: '🔧 运行模式：完整修复模式\n' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 140, col 15, Error - Using Chinese characters: 📂 发现  (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 140, col 36, Error - Using Chinese characters:  个文档文件\n (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 146, col 17, Error - Using Chinese characters: 🧪 测试模式：仅处理前  (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 146, col 54, Error - Using Chinese characters:  个文件： (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 152, col 15, Error - Using Chinese characters: '⚙️  开始处理文件...\n' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 167, col 19, Error - Using Chinese characters:    移除  (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\fix-colon-separator.ts: line 167, col 45, Error - Using Chinese characters:  个冒号分隔符 (i18n/no-chinese-character)
